"伝票番号","伝票日付","業者コード","業者略称","工事番号","工事枝番","工事略称","行番号","注文番号","注文枝番","会計転送フラグ","データ受入フラグ","転送済フラグ","取引区分","取引区分名称","税処理区分","税処理区分名称","数量","単位区分","単位区分名称","単価","入力金額","税抜金額","消費税","税率","調整税","費目コード","費目名称","工種コード","工種名称","種別コード","種別名称","大分類コード","品種コード","品名コード","品種－品名","品名－規格","要素内訳コード","要素内訳名称","備考１","備考２","立替フラグ","作成日","作成者","更新日","更新者","倉庫コード","倉庫名称","予備１","予備２","予備３","予備４","予備５","予備６","予備７","予備８","作成者コード","税率種別","予備９","予備１０","税額控除コード","税額控除名称"
"6876","2025/12/17","21000032","WINｺｰﾎﾟﾚｰｼｮﾝ","2","0","本社倉庫","1","25120053","0","1","0","","4","入庫","1","外税","30","","個","32500","975000","975000","97500","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2720","272032","三菱電機 ELCB 3P 200A","NV250-CV","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","1","25120179","0","1","0","","4","入庫","1","外税","2000","","個","1.5000","3000","3000","300","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281012","M8ﾌﾟﾚｰﾝﾜｯｼｬｰ SUS","lia-0018-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","2","25120179","0","1","0","","4","入庫","1","外税","800","","本","15","12000","12000","1200","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281005","M8ﾎﾞﾙﾄ 全ねじ SUS L40","laa-0040-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","3","25120179","0","1","0","","4","入庫","1","外税","400","","本","10","4000","4000","400","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281003","M8ﾎﾞﾙﾄ 全ねじ SUS L20","laa-0020-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","4","25120179","0","1","0","","4","入庫","1","外税","2000","","個","3.5000","7000","7000","700","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281035","M10ﾜｯｼｬｰ SUS","lib-0022-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","5","25120179","0","1","0","","4","入庫","1","外税","4000","","個","3","12000","12000","1200","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281036","M10ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ SUS","ljb-0000-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","6","25120179","0","1","0","","4","入庫","1","外税","400","","本","45","18000","18000","1800","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281033","M10ﾎﾞﾙﾄ 全ねじ SUS L80","lna-0080-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","7","25120179","0","1","0","","4","入庫","1","外税","400","","本","40","16000","16000","1600","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281032","M10ﾎﾞﾙﾄ 全ねじ SUS L70","lna-0070-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6888","2025/12/15","22000011","三井金物店","2","0","本社倉庫","8","25120179","0","1","0","","4","入庫","1","外税","400","","本","22","8800","8800","880","10","","42000","電材（B材）","42120","電材（DC除く）","","","2000","2810","281029","M10ﾎﾞﾙﾄ 全ねじ SUS L30","lna-0030-gk001","10000","材料費","","","0","2025/12/22","satoko.hagiwara","2025/12/22","satoko.hagiwara","1","本社倉庫","","","","","","","","","0","0","","","0","控除100%"
"6934","2025/12/23","21000029","ｲｸﾞｱｽ","2","1","岩崎倉庫","1","25120183","0","1","0","","4","入庫","1","外税","2","","台","80200","160400","160400","16040","10","","45000","ﾓﾆﾀﾘﾝｸﾞ関連工事","45110","ﾓﾆﾀﾘﾝｸﾞ機器","","","1000","1220","122001","Huawei SmartLogger 3000A","","10000","材料費","","","0","2025/12/25","satoko.hagiwara","2025/12/25","satoko.hagiwara","2","岩崎倉庫","","","","","","","","","0","0","","","0","控除100%"
